DEBUG: root: logging established
DEBUG: root: days_revenue() called
DEBUG: root: days_tickets() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
DEBUG: root: ticket_revenue() called
